country,date,total_cases,total_deaths,icu_patients
Canada,2020-05-10,66422,4556,258
Canada,2020-05-11,66422,4556,252
Canada,2020-05-12,66422,4556,244
Canada,2020-05-13,66422,4556,235
Canada,2020-05-14,66422,4556,225
Canada,2020-05-15,66422,4556,226
Canada,2020-05-16,66422,4556,216
Canada,2020-05-17,74602,5546,208
Canada,2020-05-18,74602,5546,221
Canada,2020-05-19,74602,5546,213
Canada,2020-05-20,74602,5546,206
Canada,2020-05-21,74602,5546,198
Canada,2020-05-22,74602,5546,197
Canada,2020-05-23,74602,5546,198
Canada,2020-05-24,82469,6232,188
Canada,2020-05-25,82469,6232,192
Canada,2020-05-26,82469,6232,191
Canada,2020-05-27,82469,6232,181
Canada,2020-05-28,82469,6232,178
Canada,2020-05-29,82469,6232,173
Canada,2020-05-30,82469,6232,172
Canada,2020-05-31,89407,6959,177
Canada,2020-06-01,89407,6959,177
Canada,2020-06-02,89407,6959,178
Canada,2020-06-03,89407,6959,171
Canada,2020-06-04,89407,6959,167
Canada,2020-06-05,89407,6959,163
Canada,2020-06-06,89407,6959,161
Canada,2020-06-07,94324,7683,158
Canada,2020-06-08,94324,7683,157
Canada,2020-06-09,94324,7683,161
Canada,2020-06-10,94324,7683,160
Canada,2020-06-11,94324,7683,156
Canada,2020-06-12,94324,7683,151
Canada,2020-06-13,94324,7683,143
Canada,2020-06-14,97932,8021,142
Canada,2020-06-15,97932,8021,143
Canada,2020-06-16,97932,8021,136
Canada,2020-06-17,97932,8021,128
Canada,2020-06-18,97932,8021,123
Canada,2020-06-19,97932,8021,124
Canada,2020-06-20,97932,8021,133
Canada,2020-06-21,100618,8318,125
Canada,2020-06-22,100618,8318,120
Canada,2020-06-23,100618,8318,118
Canada,2020-06-24,100618,8318,114
Canada,2020-06-25,100618,8318,111
Canada,2020-06-26,100618,8318,103
Canada,2020-06-27,100618,8318,102
Canada,2020-06-28,102783,8475,98
Canada,2020-06-29,102783,8475,90
Canada,2020-06-30,102783,8475,86
Canada,2020-07-01,102783,8475,87
Canada,2020-07-02,102783,8475,86
Canada,2020-07-03,102783,8475,15
Canada,2020-07-04,102783,8475,81
Canada,2020-07-05,105079,8627,76
Canada,2020-07-06,105079,8627,72
Canada,2020-07-07,105079,8627,72
Canada,2020-07-08,105079,8627,68
Canada,2020-07-09,105079,8627,74
Canada,2020-07-10,105079,8627,71
Canada,2020-07-11,105079,8627,72
Canada,2020-07-12,107114,8723,72
Canada,2020-07-13,107114,8723,75
Canada,2020-07-14,107114,8723,69
Canada,2020-07-15,107114,8723,66
Canada,2020-07-16,107114,8723,73
Canada,2020-07-17,107114,8723,70
Canada,2020-07-18,107114,8723,68
Canada,2020-07-19,109658,8802,72
Canada,2020-07-20,109658,8802,76
Canada,2020-07-21,109658,8802,78
Canada,2020-07-22,109658,8802,79
Canada,2020-07-23,109658,8802,74
Canada,2020-07-24,109658,8802,70
Canada,2020-07-25,109658,8802,70
Canada,2020-07-26,113193,8844,72
Canada,2020-07-27,113193,8844,69
Canada,2020-07-28,113193,8844,68
Canada,2020-07-29,113193,8844,66
Canada,2020-07-30,113193,8844,67
Canada,2020-07-31,113193,8844,68
Canada,2020-08-01,113193,8844,71
Canada,2020-08-02,116298,8897,70
Canada,2020-08-03,116298,8897,75
Canada,2020-08-04,116298,8897,76
Canada,2020-08-05,116298,8897,75
Canada,2020-08-06,116298,8897,72
Canada,2020-08-07,116298,8897,65
Canada,2020-08-08,116298,8897,65
Canada,2020-08-09,118970,8932,61
Canada,2020-08-10,118970,8932,59
Canada,2020-08-11,118970,8932,59
Canada,2020-08-12,118970,8932,57
Canada,2020-08-13,118970,8932,53
Canada,2020-08-14,118970,8932,53
Canada,2020-08-15,118970,8932,53
Canada,2020-08-16,121652,8982,48
Canada,2020-08-17,121652,8982,47
Canada,2020-08-18,121652,8982,48
Canada,2020-08-19,121652,8982,49
Canada,2020-08-20,121652,8982,46
Canada,2020-08-21,121652,8982,46
Canada,2020-08-22,121652,8982,41
Canada,2020-08-23,124372,9026,42
Canada,2020-08-24,124372,9026,41
Canada,2020-08-25,124372,9026,42
Canada,2020-08-26,124372,9026,43
Canada,2020-08-27,124372,9026,42
Canada,2020-08-28,124372,9026,46
Canada,2020-08-29,124372,9026,48
Canada,2020-08-30,127310,9075,51
Canada,2020-08-31,127310,9075,52
Canada,2020-09-01,127310,9075,44
Canada,2020-09-02,127310,9075,46
Canada,2020-09-03,127310,9075,48
Canada,2020-09-04,127310,9075,50
Canada,2020-09-05,127310,9075,40
Canada,2020-09-06,131124,9104,38
Canada,2020-09-07,131124,9104,38
Canada,2020-09-08,131124,9104,47
Canada,2020-09-09,131124,9104,49
Canada,2020-09-10,131124,9104,48
Canada,2020-09-11,131124,9104,38
Canada,2020-09-12,131124,9104,41
Canada,2020-09-13,135626,9126,44
Canada,2020-09-14,135626,9126,53
Canada,2020-09-15,135626,9126,57
Canada,2020-09-16,135626,9126,63
Canada,2020-09-17,135626,9126,59
Canada,2020-09-18,135626,9126,61
Canada,2020-09-19,135626,9126,64
Canada,2020-09-20,141911,9167,66
Canada,2020-09-21,141911,9167,64
Canada,2020-09-22,141911,9167,69
Canada,2020-09-23,141911,9167,69
Canada,2020-09-24,141911,9167,73
Canada,2020-09-25,141911,9167,76
Canada,2020-09-26,141911,9167,79
Canada,2020-09-27,150456,9217,79
Canada,2020-09-28,150456,9217,77
Canada,2020-09-29,150456,9217,81
Canada,2020-09-30,150456,9217,84
Canada,2020-10-01,150456,9217,86
Canada,2020-10-02,150456,9217,87
Canada,2020-10-03,150456,9217,88
Canada,2020-10-04,162659,9370,84
Canada,2020-10-05,162659,9370,83
Canada,2020-10-06,162659,9370,86
Canada,2020-10-07,162659,9370,89
Canada,2020-10-08,162659,9370,88
Canada,2020-10-09,162659,9370,92
Canada,2020-10-10,162659,9370,95
Canada,2020-10-11,178117,9545,100
Canada,2020-10-12,178117,9545,106
Canada,2020-10-13,178117,9545,115
Canada,2020-10-14,178117,9545,113
Canada,2020-10-15,178117,9545,116
Canada,2020-10-16,178117,9545,126
Canada,2020-10-17,178117,9545,126
Canada,2020-10-18,194106,9681,122
Canada,2020-10-19,194106,9681,123
Canada,2020-10-20,194106,9681,121
Canada,2020-10-21,194106,9681,133
Canada,2020-10-22,194106,9681,138
Canada,2020-10-23,194106,9681,143
Canada,2020-10-24,194106,9681,143
Canada,2020-10-25,211732,9844,146
Canada,2020-10-26,211732,9844,145
Canada,2020-10-27,211732,9844,147
Canada,2020-10-28,211732,9844,155
Canada,2020-10-29,211732,9844,159
Canada,2020-10-30,211732,9844,157
Canada,2020-10-31,211732,9844,151
Canada,2020-11-01,231999,10060,158
Canada,2020-11-02,231999,10060,156
Canada,2020-11-03,231999,10060,164
Canada,2020-11-04,231999,10060,181
Canada,2020-11-05,231999,10060,176
Canada,2020-11-06,231999,10060,189
Canada,2020-11-07,231999,10060,195
Canada,2020-11-08,255809,10380,207
Canada,2020-11-09,255809,10380,208
Canada,2020-11-10,255809,10380,227
Canada,2020-11-11,255809,10380,243
Canada,2020-11-12,255809,10380,257
Canada,2020-11-13,255809,10380,270
Canada,2020-11-14,255809,10380,284
Canada,2020-11-15,287318,10771,300
Canada,2020-11-16,287318,10771,313
Canada,2020-11-17,287318,10771,313
Canada,2020-11-18,287318,10771,330
Canada,2020-11-19,287318,10771,332
Canada,2020-11-20,287318,10771,330
Canada,2020-11-21,287318,10771,328
Canada,2020-11-22,320719,11271,354
Canada,2020-11-23,320719,11271,363
Canada,2020-11-24,320719,11271,367
Canada,2020-11-25,320719,11271,359
Canada,2020-11-26,320719,11271,375
Canada,2020-11-27,320719,11271,381
Canada,2020-11-28,320719,11271,391
Canada,2020-11-29,359064,11822,406
Canada,2020-11-30,359064,11822,433
Canada,2020-12-01,359064,11822,437
Canada,2020-12-02,359064,11822,461
Canada,2020-12-03,359064,11822,474
Canada,2020-12-04,359064,11822,473
Canada,2020-12-05,359064,11822,474
Canada,2020-12-06,402568,12418,483
Canada,2020-12-07,402568,12418,490
Canada,2020-12-08,402568,12418,497
Canada,2020-12-09,402568,12418,509
Canada,2020-12-10,402568,12418,540
Canada,2020-12-11,402568,12418,538
Canada,2020-12-12,402568,12418,556
Canada,2020-12-13,448839,13166,551
Canada,2020-12-14,448839,13166,556
Canada,2020-12-15,448839,13166,576
Canada,2020-12-16,448839,13166,584
Canada,2020-12-17,448839,13166,573
Canada,2020-12-18,448839,13166,577
Canada,2020-12-19,448839,13166,577
Canada,2020-12-20,495343,13947,572
Canada,2020-12-21,495343,13947,580
Canada,2020-12-22,495343,13947,576
Canada,2020-12-23,495343,13947,573
Canada,2020-12-24,495343,13947,574
Canada,2020-12-25,495343,13947,588
Canada,2020-12-26,495343,13947,581
Canada,2020-12-27,539241,14734,605
Canada,2020-12-28,539241,14734,617
Canada,2020-12-29,539241,14734,644
Canada,2020-12-30,539241,14734,646
Canada,2020-12-31,539241,14734,640
Canada,2021-01-01,539241,14734,635
Canada,2021-01-02,539241,14734,638
Canada,2021-01-03,588939,15632,639
Canada,2021-01-04,588939,15632,669
Canada,2021-01-05,588939,15632,672
Canada,2021-01-06,588939,15632,667
Canada,2021-01-07,588939,15632,669
Canada,2021-01-08,588939,15632,682
Canada,2021-01-09,588939,15632,678
Canada,2021-01-10,644349,16590,680
Canada,2021-01-11,644349,16590,686
Canada,2021-01-12,644349,16590,683
Canada,2021-01-13,644349,16590,698
Canada,2021-01-14,644349,16590,689
Canada,2021-01-15,644349,16590,686
Canada,2021-01-16,644349,16590,686
Canada,2021-01-17,695704,17606,683
Canada,2021-01-18,695704,17606,681
Canada,2021-01-19,695704,17606,681
Canada,2021-01-20,695704,17606,667
Canada,2021-01-21,695704,17606,660
Canada,2021-01-22,695704,17606,683
Canada,2021-01-23,695704,17606,675
Canada,2021-01-24,737407,18697,677
Canada,2021-01-25,737407,18697,655
Canada,2021-01-26,737407,18697,657
Canada,2021-01-27,737407,18697,649
Canada,2021-01-28,737407,18697,665
Canada,2021-01-29,737407,18697,643
Canada,2021-01-30,737407,18697,645
Canada,2021-01-31,770793,19662,646
Canada,2021-02-01,770793,19662,622
Canada,2021-02-02,770793,19662,615
Canada,2021-02-03,770793,19662,595
Canada,2021-02-04,770793,19662,594
Canada,2021-02-05,770793,19662,590
Canada,2021-02-06,770793,19662,597
Canada,2021-02-07,797756,20459,588
Canada,2021-02-08,797756,20459,564
Canada,2021-02-09,797756,20459,549
Canada,2021-02-10,797756,20459,534
Canada,2021-02-11,797756,20459,520
Canada,2021-02-12,797756,20459,520
Canada,2021-02-13,797756,20459,507
Canada,2021-02-14,820306,21001,509
Canada,2021-02-15,820306,21001,507
Canada,2021-02-16,820306,21001,514
Canada,2021-02-17,820306,21001,487
Canada,2021-02-18,820306,21001,474
Canada,2021-02-19,820306,21001,455
Canada,2021-02-20,820306,21001,475
Canada,2021-02-21,840586,21407,480
Canada,2021-02-22,840586,21407,478
Canada,2021-02-23,840586,21407,487
Canada,2021-02-24,840586,21407,482
Canada,2021-02-25,840586,21407,484
Canada,2021-02-26,840586,21407,474
Canada,2021-02-27,840586,21407,486
Canada,2021-02-28,861547,21738,474
Canada,2021-03-01,861547,21738,482
Canada,2021-03-02,861547,21738,467
Canada,2021-03-03,861547,21738,468
Canada,2021-03-04,861547,21738,468
Canada,2021-03-05,861547,21738,467
Canada,2021-03-06,861547,21738,462
Canada,2021-03-07,881754,22010,472
Canada,2021-03-08,881754,22010,480
Canada,2021-03-09,881754,22010,467
Canada,2021-03-10,881754,22010,466
Canada,2021-03-11,881754,22010,472
Canada,2021-03-12,881754,22010,464
Canada,2021-03-13,881754,22010,474
Canada,2021-03-14,903216,22217,497
Canada,2021-03-15,903216,22217,497
Canada,2021-03-16,903216,22217,517
Canada,2021-03-17,903216,22217,520
Canada,2021-03-18,903216,22217,527
Canada,2021-03-19,903216,22217,515
Canada,2021-03-20,903216,22217,517
Canada,2021-03-21,927062,22422,510
Canada,2021-03-22,927062,22422,544
Canada,2021-03-23,927062,22422,551
Canada,2021-03-24,927062,22422,550
Canada,2021-03-25,927062,22422,575
Canada,2021-03-26,927062,22422,594
Canada,2021-03-27,927062,22422,589
Canada,2021-03-28,956655,22629,601
Canada,2021-03-29,956655,22629,603
Canada,2021-03-30,956655,22629,620
Canada,2021-03-31,956655,22629,625
Canada,2021-04-01,956655,22629,628
Canada,2021-04-02,956655,22629,658
Canada,2021-04-03,956655,22629,690
Canada,2021-04-04,994836,22828,722
Canada,2021-04-05,994836,22828,767
Canada,2021-04-06,994836,22828,762
Canada,2021-04-07,994836,22828,796
Canada,2021-04-08,994836,22828,821
Canada,2021-04-09,994836,22828,858
Canada,2021-04-10,994836,22828,895
Canada,2021-04-11,1045277,23037,909
Canada,2021-04-12,1045277,23037,922
Canada,2021-04-13,1045277,23037,938
Canada,2021-04-14,1045277,23037,957
Canada,2021-04-15,1045277,23037,1009
Canada,2021-04-16,1045277,23037,1035
Canada,2021-04-17,1045277,23037,1066
Canada,2021-04-18,1106065,23322,1088
Canada,2021-04-19,1106065,23322,1098
Canada,2021-04-20,1106065,23322,1144
Canada,2021-04-21,1106065,23322,1178
Canada,2021-04-22,1106065,23322,1195
Canada,2021-04-23,1106065,23322,1213
Canada,2021-04-24,1106065,23322,1240
Canada,2021-04-25,1164580,23655,1269
Canada,2021-04-26,1164580,23655,1264
Canada,2021-04-27,1164580,23655,1273
Canada,2021-04-28,1164580,23655,1286
Canada,2021-04-29,1164580,23655,1296
Canada,2021-04-30,1164580,23655,1309
Canada,2021-05-01,1164580,23655,1313
Canada,2021-05-02,1219418,23994,1311
Canada,2021-05-03,1219418,23994,1306
Canada,2021-05-04,1219418,23994,1298
Canada,2021-05-05,1219418,23994,1279
Canada,2021-05-06,1219418,23994,1264
Canada,2021-05-07,1219418,23994,1261
Canada,2021-05-08,1219418,23994,1257
Canada,2021-05-09,1273166,24297,1239
Canada,2021-05-10,1273166,24297,1223
Canada,2021-05-11,1273166,24297,1201
Canada,2021-05-12,1273166,24297,1210
Canada,2021-05-13,1273166,24297,1214
Canada,2021-05-14,1273166,24297,1229
Canada,2021-05-15,1273166,24297,1240
Canada,2021-05-16,1318412,24632,1231
Canada,2021-05-17,1318412,24632,1205
Canada,2021-05-18,1318412,24632,1163
Canada,2021-05-19,1318412,24632,1141
Canada,2021-05-20,1318412,24632,1122
Canada,2021-05-21,1318412,24632,1101
Canada,2021-05-22,1318412,24632,1080
Canada,2021-05-23,1352121,24922,1070
Canada,2021-05-24,1352121,24922,1069
Canada,2021-05-25,1352121,24922,1052
Canada,2021-05-26,1352121,24922,1020
Canada,2021-05-27,1352121,24922,1002
Canada,2021-05-28,1352121,24922,962
Canada,2021-05-29,1352121,24922,946
Canada,2021-05-30,1374273,25192,949
Canada,2021-05-31,1374273,25192,900
Canada,2021-06-01,1374273,25192,886
Canada,2021-06-02,1374273,25192,838
Canada,2021-06-03,1374273,25192,796
Canada,2021-06-04,1374273,25192,776
Canada,2021-06-05,1374273,25192,767
Canada,2021-06-06,1389502,25427,747
Canada,2021-06-07,1389502,25427,725
Canada,2021-06-08,1389502,25427,702
Canada,2021-06-09,1389502,25427,675
Canada,2021-06-10,1389502,25427,659
Canada,2021-06-11,1389502,25427,631
Canada,2021-06-12,1389502,25427,630
Canada,2021-06-13,1399717,25632,610
Canada,2021-06-14,1399717,25632,579
Canada,2021-06-15,1399717,25632,569
Canada,2021-06-16,1399717,25632,541
Canada,2021-06-17,1399717,25632,531
Canada,2021-06-18,1399717,25632,511
Canada,2021-06-19,1399717,25632,509
Canada,2021-06-20,1407258,25767,496
Canada,2021-06-21,1407258,25767,490
Canada,2021-06-22,1407258,25767,475
Canada,2021-06-23,1407258,25767,464
Canada,2021-06-24,1407258,25767,435
Canada,2021-06-25,1407258,25767,438
Canada,2021-06-26,1407258,25767,438
Canada,2021-06-27,1412301,25943,431
Canada,2021-06-28,1412301,25943,411
Canada,2021-06-29,1412301,25943,402
Canada,2021-06-30,1412301,25943,384
Canada,2021-07-01,1412301,25943,377
Canada,2021-07-02,1412301,25943,362
Canada,2021-07-03,1412301,25943,342
Canada,2021-07-04,1416316,26081,340
Canada,2021-07-05,1416316,26081,333
Canada,2021-07-06,1416316,26081,320
Canada,2021-07-07,1416316,26081,313
Canada,2021-07-08,1416316,26081,304
Canada,2021-07-09,1416316,26081,299
Canada,2021-07-10,1416316,26081,300
Canada,2021-07-11,1419964,26159,303
Canada,2021-07-12,1419964,26159,281
Canada,2021-07-13,1419964,26159,271
Canada,2021-07-14,1419964,26159,252
Canada,2021-07-15,1419964,26159,238
Canada,2021-07-16,1419964,26159,226
Canada,2021-07-17,1419964,26159,230
Canada,2021-07-18,1422641,26225,231
Canada,2021-07-19,1422641,26225,227
Canada,2021-07-20,1422641,26225,225
Canada,2021-07-21,1422641,26225,225
Canada,2021-07-22,1422641,26225,219
Canada,2021-07-23,1422641,26225,209
Canada,2021-07-24,1422641,26225,204
Canada,2021-07-25,1425711,26274,207
Canada,2021-07-26,1425711,26274,204
Canada,2021-07-27,1425711,26274,203
Canada,2021-07-28,1425711,26274,203
Canada,2021-07-29,1425711,26274,197
Canada,2021-07-30,1425711,26274,183
Canada,2021-07-31,1425711,26274,175
Canada,2021-08-01,1430483,26321,175
Canada,2021-08-02,1430483,26321,179
Canada,2021-08-03,1430483,26321,183
Canada,2021-08-04,1430483,26321,192
Canada,2021-08-05,1430483,26321,188
Canada,2021-08-06,1430483,26321,191
Canada,2021-08-07,1430483,26321,190
Canada,2021-08-08,1437701,26386,188
Canada,2021-08-09,1437701,26386,191
Canada,2021-08-10,1437701,26386,194
Canada,2021-08-11,1437701,26386,209
Canada,2021-08-12,1437701,26386,206
Canada,2021-08-13,1437701,26386,214
Canada,2021-08-14,1437701,26386,221
Canada,2021-08-15,1449851,26428,227
Canada,2021-08-16,1449851,26428,245
Canada,2021-08-17,1449851,26428,253
Canada,2021-08-18,1449851,26428,260
Canada,2021-08-19,1449851,26428,271
Canada,2021-08-20,1449851,26428,269
Canada,2021-08-21,1449851,26428,224
Canada,2021-08-22,1465866,26521,240
Canada,2021-08-23,1465866,26521,247
Canada,2021-08-24,1465866,26521,331
Canada,2021-08-25,1465866,26521,345
Canada,2021-08-26,1465866,26521,359
Canada,2021-08-27,1465866,26521,374
Canada,2021-08-28,1465866,26521,372
Canada,2021-08-29,1486436,26621,384
Canada,2021-08-30,1486436,26621,403
Canada,2021-08-31,1486436,26621,424
Canada,2021-09-01,1486436,26621,432
Canada,2021-09-02,1486436,26621,444
Canada,2021-09-03,1486436,26621,453
Canada,2021-09-04,1486436,26621,464
Canada,2021-09-05,1511212,26736,476
Canada,2021-09-06,1511212,26736,494
Canada,2021-09-07,1511212,26736,513
Canada,2021-09-08,1511212,26736,524
Canada,2021-09-09,1511212,26736,532
Canada,2021-09-10,1511212,26736,552
Canada,2021-09-11,1511212,26736,376
Canada,2021-09-12,1538093,26898,577
Canada,2021-09-13,1538093,26898,603
Canada,2021-09-14,1538093,26898,620
Canada,2021-09-15,1538093,26898,613
Canada,2021-09-16,1538093,26898,611
Canada,2021-09-17,1538093,26898,614
Canada,2021-09-18,1538093,26898,460
Canada,2021-09-19,1569186,27096,471
Canada,2021-09-20,1569186,27096,644
Canada,2021-09-21,1569186,27096,654
Canada,2021-09-22,1569186,27096,662
Canada,2021-09-23,1569186,27096,679
Canada,2021-09-24,1569186,27096,691
Canada,2021-09-25,1569186,27096,532
Canada,2021-09-26,1598807,27344,537
Canada,2021-09-27,1598807,27344,691
Canada,2021-09-28,1598807,27344,700
Canada,2021-09-29,1598807,27344,695
Canada,2021-09-30,1598807,27344,558
Canada,2021-10-01,1598807,27344,685
Canada,2021-10-02,1598807,27344,546
Canada,2021-10-03,1629142,27642,546
Canada,2021-10-04,1629142,27642,683
Canada,2021-10-05,1629142,27642,677
Canada,2021-10-06,1629142,27642,670
Canada,2021-10-07,1629142,27642,664
Canada,2021-10-08,1629142,27642,669
Canada,2021-10-09,1629142,27642,664
Canada,2021-10-10,1655364,27904,665
Canada,2021-10-11,1655364,27904,658
Canada,2021-10-12,1655364,27904,669
Canada,2021-10-13,1655364,27904,658
Canada,2021-10-14,1655364,27904,658
Canada,2021-10-15,1655364,27904,656
Canada,2021-10-16,1655364,27904,652
Canada,2021-10-17,1676846,28186,657
Canada,2021-10-18,1676846,28186,667
Canada,2021-10-19,1676846,28186,632
Canada,2021-10-20,1676846,28186,627
Canada,2021-10-21,1676846,28186,612
Canada,2021-10-22,1676846,28186,605
Canada,2021-10-23,1676846,28186,599
Canada,2021-10-24,1695914,28447,586
Canada,2021-10-25,1695914,28447,582
Canada,2021-10-26,1695914,28447,583
Canada,2021-10-27,1695914,28447,576
Canada,2021-10-28,1695914,28447,570
Canada,2021-10-29,1695914,28447,562
Canada,2021-10-30,1695914,28447,552
Canada,2021-10-31,1712128,28669,538
Canada,2021-11-01,1712128,28669,529
Canada,2021-11-02,1712128,28669,516
Canada,2021-11-03,1712128,28669,509
Canada,2021-11-04,1712128,28669,489
Canada,2021-11-05,1712128,28669,483
Canada,2021-11-06,1712128,28669,478
Canada,2021-11-07,1727683,28847,470
Canada,2021-11-08,1727683,28847,463
Canada,2021-11-09,1727683,28847,474
Canada,2021-11-10,1727683,28847,471
Canada,2021-11-11,1727683,28847,454
Canada,2021-11-12,1727683,28847,453
Canada,2021-11-13,1727683,28847,454
Canada,2021-11-14,1745349,29022,455
Canada,2021-11-15,1745349,29022,456
Canada,2021-11-16,1745349,29022,437
Canada,2021-11-17,1745349,29022,432
Canada,2021-11-18,1745349,29022,424
Canada,2021-11-19,1745349,29022,420
Canada,2021-11-20,1745349,29022,426
Canada,2021-11-21,1762434,29193,438
Canada,2021-11-22,1762434,29193,426
Canada,2021-11-23,1762434,29193,432
Canada,2021-11-24,1762434,29193,429
Canada,2021-11-25,1762434,29193,426
Canada,2021-11-26,1762434,29193,424
Canada,2021-11-27,1762434,29193,405
Canada,2021-11-28,1782171,29330,405
Canada,2021-11-29,1782171,29330,432
Canada,2021-11-30,1782171,29330,422
Canada,2021-12-01,1782171,29330,408
Canada,2021-12-02,1782171,29330,408
Canada,2021-12-03,1782171,29330,399
Canada,2021-12-04,1782171,29330,402
Canada,2021-12-05,1802359,29468,411
Canada,2021-12-06,1802359,29468,413
Canada,2021-12-07,1802359,29468,398
Canada,2021-12-08,1802359,29468,391
Canada,2021-12-09,1802359,29468,389
Canada,2021-12-10,1802359,29468,383
Canada,2021-12-11,1802359,29468,365
Canada,2021-12-12,1827755,29610,382
Canada,2021-12-13,1827755,29610,396
Canada,2021-12-14,1827755,29610,406
Canada,2021-12-15,1827755,29610,384
Canada,2021-12-16,1827755,29610,388
Canada,2021-12-17,1827755,29610,380
Canada,2021-12-18,1827755,29610,382
Canada,2021-12-19,1867700,29742,384
Canada,2021-12-20,1867700,29742,391
Canada,2021-12-21,1867700,29742,385
Canada,2021-12-22,1867700,29742,377
Canada,2021-12-23,1867700,29742,385
Canada,2021-12-24,1867700,29742,371
Canada,2021-12-25,1867700,29742,371
Canada,2021-12-26,1961723,29851,372
Canada,2021-12-27,1961723,29851,377
Canada,2021-12-28,1961723,29851,367
Canada,2021-12-29,1961723,29851,378
Canada,2021-12-30,1961723,29851,391
Canada,2021-12-31,1961723,29851,404
Canada,2022-01-01,1961723,29851,416
